selection_scope,repeat,model,target,best_params_json,optimization_mean_MAE,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples
frozen_training_partition_only,1,LinearRegression,HOMO,{},0.11665248214545601,0.1279716389449518,0.18838174795694224,0.7438739777804835,0.0860516935634612,0.29058248703441747,0.43950670450511237,0.5566247418874664,45
frozen_training_partition_only,2,LinearRegression,HOMO,{},0.11665248214545601,0.09399691835349493,0.13446395556337443,0.8180414157913856,0.05287623127722885,0.2218597584207492,0.27875233816925576,0.45195235023401725,45
frozen_training_partition_only,3,LinearRegression,HOMO,{},0.11665248214545601,0.10410872920992441,0.14558358770088767,0.8190016509756859,0.06692438684453439,0.2633481454099295,0.2936754506779259,0.4626878871723301,45
frozen_training_partition_only,4,LinearRegression,HOMO,{},0.11665248214545601,0.13923457887341903,0.19728532941758972,0.8111675372627644,0.09534144811401912,0.3022657523280545,0.42532041326284253,0.6111793705241642,45
frozen_training_partition_only,5,LinearRegression,HOMO,{},0.11665248214545601,0.11795054534548977,0.15487070148794532,0.8495983557505312,0.08512945368513236,0.25859113760847224,0.29611980598108223,0.3869782402599222,45
frozen_training_partition_only,1,Ridge,HOMO,"{""alpha"": 0.00010347232636440268}",0.11782636062842436,0.1289223972713741,0.18927138804065347,0.7414491354898134,0.07746105695279493,0.288569173801876,0.43865546084721146,0.562245807110962,45
frozen_training_partition_only,2,Ridge,HOMO,"{""alpha"": 0.00010347232636440268}",0.11782636062842436,0.09572980163267722,0.1355389455846822,0.815120401735653,0.06199609294862096,0.21996989932732766,0.2770101596243627,0.4515952594574193,45
frozen_training_partition_only,3,Ridge,HOMO,"{""alpha"": 0.00010347232636440268}",0.11782636062842436,0.10468263863974475,0.1463692865903374,0.8170427220796784,0.06914367714324499,0.26571023428292834,0.2951571483796801,0.46312004464150736,45
frozen_training_partition_only,4,Ridge,HOMO,"{""alpha"": 0.00010347232636440268}",0.11782636062842436,0.1397434502409577,0.19788491483644033,0.8100180018023445,0.09342345668236085,0.30541645756030894,0.4247237891974696,0.6127173470842795,45
frozen_training_partition_only,5,Ridge,HOMO,"{""alpha"": 0.00010347232636440268}",0.11782636062842436,0.1200535153573679,0.15602246258285188,0.8473529872254771,0.09391151299765355,0.2565694365191346,0.2950365073823782,0.3845141288722953,45
frozen_training_partition_only,1,ElasticNet,HOMO,"{""alpha"": 0.00010569580324152556, ""l1_ratio"": 0.6973272756279867}",0.11807930799943496,0.129166677518455,0.1891662034389183,0.7417364268045528,0.08165822283454549,0.28978026273544605,0.4393010173075417,0.5584666806673138,45
frozen_training_partition_only,2,ElasticNet,HOMO,"{""alpha"": 0.00010569580324152556, ""l1_ratio"": 0.6973272756279867}",0.11807930799943496,0.0956790476028634,0.13524537654167262,0.815920410152708,0.06594174100165962,0.2221324206269781,0.27513692402480083,0.4498405344819876,45
frozen_training_partition_only,3,ElasticNet,HOMO,"{""alpha"": 0.00010569580324152556, ""l1_ratio"": 0.6973272756279867}",0.11807930799943496,0.10529004431750805,0.14679556920893347,0.8159754889230673,0.07101101120658093,0.2668795622971663,0.29607131086021105,0.46365559140745916,45
frozen_training_partition_only,4,ElasticNet,HOMO,"{""alpha"": 0.00010569580324152556, ""l1_ratio"": 0.6973272756279867}",0.11807930799943496,0.13964173407565977,0.1979975833054096,0.8098016025432608,0.09683107891925768,0.307113879139361,0.42304333072232736,0.6152263201878654,45
frozen_training_partition_only,5,ElasticNet,HOMO,"{""alpha"": 0.00010569580324152556, ""l1_ratio"": 0.6973272756279867}",0.11807930799943496,0.12061903648268861,0.15645660043504508,0.8465023142617143,0.09351854545138583,0.25762094538209585,0.29598492253378583,0.38208604521796996,45
frozen_training_partition_only,1,KernelRidge,HOMO,"{""alpha"": 0.2178247770033822, ""gamma"": 0.259700984126176}",0.10042669793167333,0.11135372538615482,0.1574651672530982,0.821044497028858,0.06745032305002141,0.24866742079910686,0.33836726622934027,0.5117322717041297,45
frozen_training_partition_only,2,KernelRidge,HOMO,"{""alpha"": 0.2178247770033822, ""gamma"": 0.259700984126176}",0.10042669793167333,0.08326853214707207,0.13349982378701067,0.8206414153515136,0.043270146930080244,0.18426099478984492,0.29844980734245247,0.5622930703053033,45
frozen_training_partition_only,3,KernelRidge,HOMO,"{""alpha"": 0.2178247770033822, ""gamma"": 0.259700984126176}",0.10042669793167333,0.08745822024317113,0.12901235596402086,0.8578612832131995,0.051212743718486387,0.26113699860751116,0.31867607847595164,0.3448482965386539,45
frozen_training_partition_only,4,KernelRidge,HOMO,"{""alpha"": 0.2178247770033822, ""gamma"": 0.259700984126176}",0.10042669793167333,0.1267391644163674,0.21146797155444097,0.7830416978903658,0.06560049782930566,0.29286514436230626,0.42485825576397507,0.8635832275346811,45
frozen_training_partition_only,5,KernelRidge,HOMO,"{""alpha"": 0.2178247770033822, ""gamma"": 0.259700984126176}",0.10042669793167333,0.09331384746560124,0.13185958694384717,0.8909721431984694,0.0685321482956649,0.22736000444805923,0.29087931376832504,0.4164874396850218,45
frozen_training_partition_only,1,RandomForest,HOMO,"{""max_depth"": 18, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 883}",0.09212888222683982,0.1036853534864996,0.14429656570642885,0.8497245455858453,0.06835581913689914,0.25317759926784006,0.3260804616635932,0.41044893452305153,45
