selection_scope,repeat,model,target,best_params_json,optimization_mean_MAE,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples
frozen_training_partition_only,1,LinearRegression,HOMO,{},0.11854571209910274,0.13155197000556404,0.19170554947786594,0.7239503106762215,0.08243465805838746,0.2951835362990831,0.4371082923190735,0.5499169093063152,45
frozen_training_partition_only,2,LinearRegression,HOMO,{},0.11854571209910274,0.10144557962239359,0.14161620144714723,0.7948685268543647,0.0732751145826036,0.2402618380405436,0.2817916529650801,0.4519553461552608,45
frozen_training_partition_only,3,LinearRegression,HOMO,{},0.11854571209910274,0.10239285849804457,0.14354181393585874,0.8201561559648103,0.06928901275950405,0.254521910438819,0.28360096857381956,0.45865307193835214,45
frozen_training_partition_only,4,LinearRegression,HOMO,{},0.11854571209910274,0.1376101385349447,0.1953795402576899,0.8155458075323795,0.09096637467416624,0.3027956622658467,0.4255566544449685,0.6095940701952163,45
frozen_training_partition_only,5,LinearRegression,HOMO,{},0.11854571209910274,0.11972801383456684,0.16641201971111683,0.8290678439086321,0.08154574629416533,0.27934807358614544,0.29085947391349226,0.572642954488888,45
frozen_training_partition_only,1,Ridge,HOMO,"{""alpha"": 115.12002276925017}",0.11901903209931079,0.13277418449386133,0.17729561467677044,0.7638902724490145,0.0782744393430912,0.2996203156871831,0.38379293805785486,0.4250392129980023,45
frozen_training_partition_only,2,Ridge,HOMO,"{""alpha"": 115.12002276925017}",0.11901903209931079,0.09972636781520226,0.12940703914923501,0.8287138618660792,0.07878796152521517,0.22899473093442232,0.25519285953479537,0.3692289541864433,45
frozen_training_partition_only,3,Ridge,HOMO,"{""alpha"": 115.12002276925017}",0.11901903209931079,0.10324191065801756,0.14027410142067628,0.8282512016375345,0.07824403985829331,0.2146454355431415,0.30441361241604264,0.4260711057361215,45
frozen_training_partition_only,4,Ridge,HOMO,"{""alpha"": 115.12002276925017}",0.11901903209931079,0.1396200846181856,0.199532080344579,0.8076218140229994,0.09954889868308925,0.2695281675813027,0.36608907538089747,0.7170006513430449,45
frozen_training_partition_only,5,Ridge,HOMO,"{""alpha"": 115.12002276925017}",0.11901903209931079,0.11973261291128724,0.165749730921527,0.8304256927068111,0.09404532303400792,0.23965017415324363,0.3146127380296115,0.6278981734992719,45
frozen_training_partition_only,1,ElasticNet,HOMO,"{""alpha"": 0.2380138425559238, ""l1_ratio"": 0.14401751978071128}",0.11848616796919927,0.13293997933716387,0.1787470320499148,0.7600086594755158,0.09944913604619199,0.28869471508864925,0.39584575195263116,0.4326140508336529,45
frozen_training_partition_only,2,ElasticNet,HOMO,"{""alpha"": 0.2380138425559238, ""l1_ratio"": 0.14401751978071128}",0.11848616796919927,0.09896572029612948,0.13039463501057427,0.8260894764047476,0.0704942669251567,0.23233233875982312,0.26813857360185295,0.3788016108230474,45
frozen_training_partition_only,3,ElasticNet,HOMO,"{""alpha"": 0.2380138425559238, ""l1_ratio"": 0.14401751978071128}",0.11848616796919927,0.10364905030835525,0.1406332173709054,0.8273706872313786,0.07433581409153334,0.21590627165135995,0.2924501462061075,0.4265650866584636,45
frozen_training_partition_only,4,ElasticNet,HOMO,"{""alpha"": 0.2380138425559238, ""l1_ratio"": 0.14401751978071128}",0.11848616796919927,0.13752642747410043,0.19700639804539602,0.8124612463413184,0.09873778065858119,0.28172616936394046,0.3745329371843635,0.7064668123896469,45
frozen_training_partition_only,5,ElasticNet,HOMO,"{""alpha"": 0.2380138425559238, ""l1_ratio"": 0.14401751978071128}",0.11848616796919927,0.11934966243024735,0.16400999330385646,0.8339667728252219,0.09102003278450344,0.24184504903036502,0.30341153547813793,0.6076423260086106,45
frozen_training_partition_only,1,KernelRidge,HOMO,"{""alpha"": 0.479043861950191, ""gamma"": 0.21912039871771774}",0.10362050403755067,0.11692484140347595,0.1636275303653786,0.7988913994162674,0.07023835499989506,0.24347590777277883,0.3501002921089717,0.5092520545522241,45
frozen_training_partition_only,2,KernelRidge,HOMO,"{""alpha"": 0.479043861950191, ""gamma"": 0.21912039871771774}",0.10362050403755067,0.08737923503501162,0.14008281796414246,0.7992866979759725,0.04640166247546418,0.21978034982876524,0.3065639463542764,0.5535262667779532,45
frozen_training_partition_only,3,KernelRidge,HOMO,"{""alpha"": 0.479043861950191, ""gamma"": 0.21912039871771774}",0.10362050403755067,0.08666421633577101,0.12878916750034985,0.8552237283297238,0.048290018515558586,0.24621774200987653,0.322679720648452,0.35663929069606226,45
frozen_training_partition_only,4,KernelRidge,HOMO,"{""alpha"": 0.479043861950191, ""gamma"": 0.21912039871771774}",0.10362050403755067,0.12899565388273773,0.2116207067787269,0.7836052673927638,0.07866629628962496,0.30057464872369466,0.41810490203948864,0.8607257776207531,45
frozen_training_partition_only,5,KernelRidge,HOMO,"{""alpha"": 0.479043861950191, ""gamma"": 0.21912039871771774}",0.10362050403755067,0.09813857353075685,0.14874578800120988,0.8634336377696379,0.06631124157709145,0.21929558450536965,0.26060411994959887,0.6209378570616764,45
frozen_training_partition_only,1,RandomForest,HOMO,"{""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 799}",0.09679683429258465,0.11324403664934422,0.1571395888604783,0.8145234035844685,0.06393158351477002,0.2872802360519547,0.33923680941909695,0.43658006721068254,45
frozen_training_partition_only,2,RandomForest,HOMO,"{""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 799}",0.09679683429258465,0.08099608100189565,0.11761604556780421,0.8585054983568547,0.05134083549197044,0.19877796594524588,0.28737466120122057,0.3179034448945277,45
frozen_training_partition_only,3,RandomForest,HOMO,"{""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 799}",0.09679683429258465,0.076795686404573,0.1088044659764377,0.8966686365330216,0.045032562536979626,0.19294961875652422,0.267681862547437,0.2940150840738278,45
frozen_training_partition_only,4,RandomForest,HOMO,"{""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 799}",0.09679683429258465,0.1262640047556351,0.20029555878893457,0.8061467870687087,0.06015211063407566,0.2674037093051036,0.3333885693375316,0.8376935814219628,45
frozen_training_partition_only,5,RandomForest,HOMO,"{""max_depth"": 13, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 799}",0.09679683429258465,0.0866843626514753,0.1324302899616131,0.891749715235214,0.0620957085431435,0.18276198533848587,0.24835668189709476,0.5831088675452127,45
frozen_training_partition_only,1,XGBoost,HOMO,"{""colsample_bytree"": 0.7565983679357928, ""gamma"": 1.611063482556469e-05, ""learning_rate"": 0.00410468975107526, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 726, ""reg_alpha"": 0.26472447022240325, ""reg_lambda"": 2.599341580913238e-05, ""subsample"": 0.8023453252473803}",0.0991839246513537,0.10884730865512424,0.14917625021547581,0.8328458108153538,0.06240973330688426,0.2885346153381349,0.33065924637451105,0.34851970822143485,45
frozen_training_partition_only,2,XGBoost,HOMO,"{""colsample_bytree"": 0.7565983679357928, ""gamma"": 1.611063482556469e-05, ""learning_rate"": 0.00410468975107526, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 726, ""reg_alpha"": 0.26472447022240325, ""reg_lambda"": 2.599341580913238e-05, ""subsample"": 0.8023453252473803}",0.0991839246513537,0.08836590452168792,0.12288826726712415,0.8455360068364703,0.06348115538024857,0.22576660665283166,0.28090500170593213,0.33078757409667947,45
frozen_training_partition_only,3,XGBoost,HOMO,"{""colsample_bytree"": 0.7565983679357928, ""gamma"": 1.611063482556469e-05, ""learning_rate"": 0.00410468975107526, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 726, ""reg_alpha"": 0.26472447022240325, ""reg_lambda"": 2.599341580913238e-05, ""subsample"": 0.8023453252473803}",0.0991839246513537,0.08233014064568428,0.11664300105723534,0.8812438563699184,0.04890700074767995,0.20583216483764671,0.27766165199890147,0.3231912962493908,45
frozen_training_partition_only,4,XGBoost,HOMO,"{""colsample_bytree"": 0.7565983679357928, ""gamma"": 1.611063482556469e-05, ""learning_rate"": 0.00410468975107526, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 726, ""reg_alpha"": 0.26472447022240325, ""reg_lambda"": 2.599341580913238e-05, ""subsample"": 0.8023453252473803}",0.0991839246513537,0.1276852076663547,0.20208704515606957,0.8026635497194726,0.06543689318847701,0.23530394850769115,0.3466165250549307,0.8463524737701409,45
frozen_training_partition_only,5,XGBoost,HOMO,"{""colsample_bytree"": 0.7565983679357928, ""gamma"": 1.611063482556469e-05, ""learning_rate"": 0.00410468975107526, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 726, ""reg_alpha"": 0.26472447022240325, ""reg_lambda"": 2.599341580913238e-05, ""subsample"": 0.8023453252473803}",0.0991839246513537,0.08869106176791741,0.13873696928529544,0.881193885216462,0.05672994300842227,0.1949988588867193,0.26412186530761644,0.621035340316773,45
frozen_training_partition_only,1,LinearRegression,LUMO,{},0.18406226165456957,0.18742567497457274,0.3180473216468157,0.8016041986929382,0.14432627905291806,0.35569475913534276,0.498882959896343,1.665385897276673,45
frozen_training_partition_only,2,LinearRegression,LUMO,{},0.18406226165456957,0.18671889740203512,0.37677184593762914,0.7366979929224459,0.0985368914809068,0.37073546738503893,0.45648551623798606,1.6655064647778826,45
frozen_training_partition_only,3,LinearRegression,LUMO,{},0.18406226165456957,0.17620100902485855,0.23686256412730342,0.8540072894958967,0.12336159739929231,0.3730412686321728,0.5013737317812534,0.6771970735000186,45
frozen_training_partition_only,4,LinearRegression,LUMO,{},0.18406226165456957,0.18228026176106077,0.23830290302514678,0.8958649595164829,0.127720096360737,0.37510640170599713,0.4911067058531784,0.7335365712520808,45
frozen_training_partition_only,5,LinearRegression,LUMO,{},0.18406226165456957,0.18768546511032058,0.23352439680401982,0.8780987803100748,0.15788285664577317,0.34291946041367377,0.49640842507658467,0.5675445422516501,45
frozen_training_partition_only,1,Ridge,LUMO,"{""alpha"": 342.33017712098575}",0.1521725157899162,0.1450293702683007,0.2831194243933206,0.8427870471406973,0.0943819345730994,0.27477547750224063,0.3166819302936605,1.651700520443545,45
frozen_training_partition_only,2,Ridge,LUMO,"{""alpha"": 342.33017712098575}",0.1521725157899162,0.17702788053379,0.3931698649057615,0.713280170093255,0.07658690724329409,0.30484101839646555,0.39934519746667346,1.8149386462172266,45
frozen_training_partition_only,3,Ridge,LUMO,"{""alpha"": 342.33017712098575}",0.1521725157899162,0.13626190351615783,0.1880834005790378,0.9079467225578942,0.09212931559978799,0.3391891861347448,0.41099635374887855,0.5776587927870609,45
frozen_training_partition_only,4,Ridge,LUMO,"{""alpha"": 342.33017712098575}",0.1521725157899162,0.1487693288364706,0.20061695807432775,0.9261970865872778,0.10632898159256743,0.31953495513710684,0.3920679285370916,0.579356920955945,45
frozen_training_partition_only,5,Ridge,LUMO,"{""alpha"": 342.33017712098575}",0.1521725157899162,0.1537740957948618,0.20394021768164636,0.9070286172693649,0.1207597623582497,0.34023981443224943,0.4258404731014767,0.5729154362097906,45
