model,target,energy_target_mode,weight_scheme,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
RandomForest,Final Energy,delta_energy,none,2599.7222798290386,2044.5893276302554,3540.0322684830735,2453.0083673156646,-0.38842755251295785,0.4911554930447404,2680.3822133642184,5497.788656420144,6444.5389894261425,15
XGBoost,Final Energy,delta_energy,none,2816.9717451550487,2100.2225492148395,3900.752179248372,2422.834919608494,-0.9171380793318601,0.8142877376885658,2902.7683925707315,6101.81411657641,6881.471594581714,15
LinearRegression,Final Energy,delta_energy,none,2916.2601724597366,1392.24981118368,3661.194758566615,1530.8473872804882,-1.2472167465141195,1.611806952220977,2914.955525238035,5250.963685809105,6273.025583765289,15
Ridge,Final Energy,delta_energy,none,3113.396986774135,2064.978513262327,3902.187081328046,2488.988107789958,-1.0345359822143294,1.3911754804888208,3705.4473697427616,5473.583073656273,6312.146162706529,15
ElasticNet,Final Energy,delta_energy,none,3259.596215635681,2241.8925366649164,4128.605138864222,2712.964576188402,-1.197151204892913,1.3876423144221115,3763.5399301086663,5948.738550905199,6802.299336453413,15
KernelRidge,Final Energy,delta_energy,none,3356.224475060813,2486.8165478939572,4413.947967145515,2893.086382450122,-1.8706826484556642,2.19344155732297,4068.011257783948,6166.2188452629425,7136.396246084568,15
RandomForest,Final Energy,delta_energy,robust,2874.636154942323,2402.1594473398986,3879.10510588395,2865.198719522592,-0.587640604310965,0.6691096035369974,3151.598984352635,5918.436552868691,7028.907168482342,15
XGBoost,Final Energy,delta_energy,robust,3146.296550296345,2405.5838711397087,4224.136014348768,2862.47690199997,-1.0479038241818506,0.8946515819677612,3434.6385733470424,6681.299190298972,7568.537932285735,15
RandomForest,Final Energy,delta_energy,soft,2724.198506379618,2102.335063616118,3695.12640315789,2536.8058436229285,-0.5236055554558251,0.5519017124560003,2800.8211564766534,5760.0974342543295,6792.049824270935,15
XGBoost,Final Energy,delta_energy,soft,3059.1421532074396,2388.027419186387,4125.750380386683,2807.4872699511175,-0.9928937822149921,0.8529988343540467,3314.415065889564,6479.026058576845,7256.435810407514,15
RandomForest,Final Energy,delta_energy_per_atom,none,1845.5465912987415,564.2439618576232,2631.084445777927,737.9632406359443,-0.7473114436024578,1.618642116281692,1277.107390546436,4071.6064890487746,5446.543425723514,15
XGBoost,Final Energy,delta_energy_per_atom,none,1877.9639973929393,762.9171876154869,2687.787949073381,865.3181436031103,-1.0347093570064914,2.2944032768160576,1458.8453602435316,4159.562531668785,5679.306412566754,15
KernelRidge,Final Energy,delta_energy_per_atom,none,2192.576816544257,808.7222443946647,2921.4601179703445,796.501008871216,-1.4020943649932023,2.8740102209188647,1773.1249102326537,4228.263134145224,5273.400860885801,15
