Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_LUMO,Predicted_LUMO,Baseline_LUMO_xTB,Residual_LUMO,Abs_Error_LUMO,Baseline_Residual_LUMO_xTB,Baseline_Abs_Error_LUMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
256,Group 21,Group 21/253.log,Group 21,253.log,CC(C1=CC2=C(OCCSCCSCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCCOC5=CC(C6=NC=CC=C6)=NC(C7=CC=CC=N7)=C5)C=C(C(C)(C)C)C=C3S8)C(SC9=CC(C(C)(C)C)=CC8=C9OCCCOC%10=CC(C%11=NC=CC=C%11)=NC(C%12=CC=CC=N%12)=C%10)=C1)(C)C,188,-1.510891,-1.4227834751044206,-7.3722,0.08810752489557938,0.08810752489557938,-5.861309,5.861309,5.773201475104421,True,False,False,20
119,Group 10,Group 10/116.log,Group 10,116.log,CC(C1=CC2=C(OCCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,256,-1.597177,-1.5096294708416638,-7.4018,0.0875475291583363,0.0875475291583363,-5.804622999999999,5.804622999999999,5.717075470841663,True,False,False,21
124,Group 10,Group 10/121.log,Group 10,121.log,CC(C1=CC2=C(OCCCSC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCSC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCSC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCSC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,244,-1.60251,-1.5204192995407846,-7.413,0.08209070045921552,0.08209070045921552,-5.81049,5.81049,5.728399299540785,True,False,False,22
15,Group 3,Group 3/16.log,Group 3,16.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OC)C=C5C(C)(C)C,102,-1.26874,-1.3459554808112122,-7.227,-0.07721548081121221,0.07721548081121221,-5.95826,5.95826,5.881044519188788,True,False,False,23
221,Group 17,Group 17/218.log,Group 17,218.log,CC(C1=CC2=C(OCCCC3=CC(C4=CC=CC=C4)=NO3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCC8=CC(C9=CC=CC=C9)=NO8)=C6OCCCC%10=CC(C%11=CC=CC=C%11)=NO%10)=C5OCCCC%12=CC(C%13=CC=CC=C%13)=NO%12)=C1)(C)C,196,-1.055569,-0.9798448767322965,-6.9366,0.0757241232677035,0.0757241232677035,-5.881031,5.881031,5.805306876732296,True,False,False,24
20,Group 3,Group 3/21.log,Group 3,21.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCC)C4=CC=C5,96,-1.320305,-1.3929360543036928,-7.314,-0.07263105430369277,0.07263105430369277,-5.993695,5.993695,5.921063945696307,True,False,False,25
19,Group 3,Group 3/20.log,Group 3,20.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5,120,-1.380958,-1.4508988912993468,-7.3506,-0.06994089129934689,0.06994089129934689,-5.969642,5.969642,5.899701108700653,True,False,False,26
8,Group 1,Group 1/9.log,Group 1,9.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CCl)=CC(SC1=C5)=C4O)=CC(CCl)=C3)=CC(CCl)=C2)O)C=C5CCl,60,-1.654048,-1.594999973128422,-7.6569,0.05904802687157806,0.05904802687157806,-6.002852000000001,6.002852000000001,5.943803973128423,True,False,False,27
18,Group 3,Group 3/19.log,Group 3,19.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCCCCCCCCC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCCCCCCCCC)C=C5C(C)(C)C,168,-1.285611,-1.3442575169355289,-7.1922,-0.0586465169355288,0.0586465169355288,-5.906588999999999,5.906588999999999,5.847942483064471,True,False,False,28
122,Group 10,Group 10/119.log,Group 10,119.log,CCCCCCCCOC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,54,-1.440414,-1.3938805607414357,-7.3083,0.046533439258564346,0.046533439258564346,-5.867886,5.867886,5.8213525607414365,True,False,False,29
