task,selected_model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,energy_target_mode,weight_scheme
HOMO,RandomForest,0.09910654288852519,0.14482896855128813,0.8336430361781714,0.06401204755558539,0.22964902753158997,0.28744346284761235,,
LUMO,RandomForest,0.12262515100135096,0.27026681504646544,0.8510832756203272,0.06453344030344896,0.24163374358467596,0.33785604206913117,,
Final Energy,RandomForest,1034.5859799503728,1797.038502922914,0.8336266648218766,434.60187297006985,2804.1063602268628,4529.649760240381,delta_energy,none
