split_level,repeat_id,split_id,outer_fold,inner_fold,target_name,n_train_samples,n_valid_samples,n_train_groups,n_valid_groups,n_overlap_groups,all_groups_present_in_train,all_groups_present_in_valid,overlap_groups
inner_shuffle_split,7,1,7,1,shared_nested_tuning,168,43,21,17,16,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 19|Group 2|Group 21|Group 22|Group 3|Group 4|Group 7|Group 8|Group 9
inner_shuffle_split,7,1,7,2,shared_nested_tuning,168,43,21,16,15,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 16|Group 19|Group 2|Group 20|Group 22|Group 3|Group 4|Group 8|Group 9
inner_shuffle_split,7,1,7,3,shared_nested_tuning,168,43,21,17,16,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 16|Group 18|Group 19|Group 2|Group 20|Group 22|Group 4|Group 6|Group 8|Group 9
inner_shuffle_split,7,1,7,4,shared_nested_tuning,168,43,22,16,16,True,False,Group 1|Group 11|Group 12|Group 13|Group 15|Group 16|Group 18|Group 19|Group 20|Group 21|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,7,1,7,5,shared_nested_tuning,168,43,22,18,18,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 19|Group 2|Group 20|Group 21|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,8,1,8,1,shared_nested_tuning,168,43,22,15,15,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 19|Group 22|Group 3|Group 4|Group 6|Group 8|Group 9
inner_shuffle_split,8,1,8,2,shared_nested_tuning,168,43,22,15,15,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 15|Group 16|Group 19|Group 2|Group 22|Group 3|Group 4|Group 6|Group 8|Group 9
inner_shuffle_split,8,1,8,3,shared_nested_tuning,168,43,21,17,16,False,False,Group 1|Group 10|Group 11|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 3|Group 4|Group 5|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,8,1,8,4,shared_nested_tuning,168,43,22,18,18,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 2|Group 22|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,8,1,8,5,shared_nested_tuning,168,43,22,16,16,True,False,Group 1|Group 10|Group 11|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 21|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,9,1,9,1,shared_nested_tuning,168,43,22,19,19,True,False,Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 20|Group 21|Group 22|Group 3|Group 4|Group 5|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,9,1,9,2,shared_nested_tuning,168,43,22,18,18,True,False,Group 1|Group 11|Group 12|Group 13|Group 14|Group 15|Group 18|Group 19|Group 2|Group 20|Group 21|Group 22|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,9,1,9,3,shared_nested_tuning,168,43,22,19,19,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 19|Group 2|Group 20|Group 21|Group 22|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,9,1,9,4,shared_nested_tuning,168,43,22,19,19,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 20|Group 22|Group 3|Group 4|Group 5|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,9,1,9,5,shared_nested_tuning,168,43,20,17,15,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 19|Group 21|Group 3|Group 4|Group 6|Group 7|Group 8
inner_shuffle_split,10,1,10,1,shared_nested_tuning,168,43,22,18,18,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 2|Group 20|Group 22|Group 4|Group 5|Group 7|Group 8|Group 9
inner_shuffle_split,10,1,10,2,shared_nested_tuning,168,43,21,17,16,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 3|Group 4|Group 6|Group 7|Group 8|Group 9
inner_shuffle_split,10,1,10,3,shared_nested_tuning,168,43,21,13,12,False,False,Group 1|Group 10|Group 11|Group 13|Group 14|Group 16|Group 19|Group 21|Group 4|Group 6|Group 8|Group 9
inner_shuffle_split,10,1,10,4,shared_nested_tuning,168,43,21,19,18,False,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 14|Group 15|Group 16|Group 18|Group 19|Group 2|Group 20|Group 21|Group 22|Group 4|Group 6|Group 8|Group 9
inner_shuffle_split,10,1,10,5,shared_nested_tuning,168,43,22,19,19,True,False,Group 1|Group 10|Group 11|Group 12|Group 13|Group 15|Group 16|Group 18|Group 19|Group 20|Group 21|Group 22|Group 3|Group 4|Group 5|Group 6|Group 7|Group 8|Group 9
