outer_fold,repeat_id,split_id,model,target,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples,best_params_json,best_inner_score,energy_target_mode,weight_scheme
1,1,1,LinearRegression,HOMO,0.16683101539605827,0.23165712144624942,0.5326540674099101,0.09070107464098909,0.3639406446068092,0.4025727880165171,0.6108892097164569,46,{},0.1460869446905299,,
1,1,1,LinearRegression,delta_homo,0.1668310153960583,0.23165712144624942,-0.7943680174343226,0.09070107464098931,0.36394064460680897,0.4025727880165171,0.6108892097164569,46,{},0.1460869446905299,,
1,1,1,Ridge,HOMO,0.15662575752904556,0.21157520908588764,0.6101686932618327,0.0819840109840575,0.36277390591620584,0.38074047232008423,0.5017403665924967,46,"{""alpha"": 64.41898568853543}",0.12683907558350793,,
1,1,1,Ridge,delta_homo,0.15662575752904556,0.21157520908588762,-0.4967517212118968,0.08198401098405705,0.36277390591620584,0.3807404723200839,0.5017403665924967,46,"{""alpha"": 64.41898568853543}",0.12683907558350793,,
1,1,1,ElasticNet,HOMO,0.16203081690474877,0.22266608941519447,0.5682271602737188,0.08864389768435554,0.36567516099568564,0.3967354771727851,0.5769468573699106,46,"{""alpha"": 0.03793598484854584, ""l1_ratio"": 0.8802330131269098}",0.11457148037842657,,
1,1,1,ElasticNet,delta_homo,0.1620308169047488,0.22266608941519445,-0.6577856366649446,0.08864389768435554,0.36567516099568564,0.39673547717278523,0.5769468573699106,46,"{""alpha"": 0.03793598484854584, ""l1_ratio"": 0.8802330131269098}",0.11457148037842657,,
1,1,1,KernelRidge,HOMO,0.15450086911365873,0.21208113463097827,0.6083021095219575,0.08815054724254923,0.36722148897512197,0.4111745588571578,0.49236315142488785,46,"{""alpha"": 0.030581329157166128, ""gamma"": 0.004761366797067449}",0.11526734211239104,,
1,1,1,KernelRidge,delta_homo,0.15450086911365873,0.21208113463097825,-0.5039184427582524,0.088150547242549,0.36722148897512175,0.4111745588571577,0.49236315142488785,46,"{""alpha"": 0.030581329157166128, ""gamma"": 0.004761366797067449}",0.11526734211239104,,
1,1,1,RandomForest,HOMO,0.15671933424500478,0.2215825488560403,0.5724191328609605,0.08774840742795575,0.3322809564374385,0.3992290116016315,0.6735256520343684,46,"{""n_estimators"": 256, ""max_depth"": 17, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": null}",0.10989629158609328,,
1,1,1,RandomForest,delta_homo,0.1567193342450047,0.22158254885604028,-0.641690617930492,0.08774840742795553,0.33228095643743827,0.3992290116016314,0.6735256520343689,46,"{""n_estimators"": 256, ""max_depth"": 17, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": null}",0.10989629158609328,,
1,1,1,XGBoost,HOMO,0.1540711314674046,0.2156380929455239,0.5950530605422049,0.10120828486633249,0.33269923896789555,0.37162832305145277,0.6562910771331785,46,"{""n_estimators"": 1189, ""max_depth"": 7, ""learning_rate"": 0.020682308516636938, ""subsample"": 0.9242433614245413, ""colsample_bytree"": 0.7957591171787266, ""min_child_weight"": 3, ""reg_alpha"": 2.7993442222825185e-08, ""reg_lambda"": 8.223547363739196e-05, ""gamma"": 0.09662317820103818}",0.10579523583923744,,
