evaluation_type,split_type,model,target,unit,holdout_MAE,holdout_RMSE,holdout_R2,holdout_MedAE,holdout_Q90_AE,holdout_Q95_AE,holdout_Max_AE,holdout_n_samples,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
holdout_test,frozen_group_holdout,KernelRidge,HOMO,eV,0.15750179897075292,0.23296940174826347,0.8569833573105835,0.07501071352863242,0.4354166718593509,0.4533727253528109,0.7868349973119209,43,0.13415914265634646,0.04267694396189353,0.20533959650979255,0.0817381635829646,0.5106793081827582,0.21914059970106026,0.08285847841186905,0.316020576239187,0.39130008555336576,15
holdout_test,frozen_group_holdout,Ridge,LUMO,eV,0.14205333953276622,0.2075409590879974,0.8690324562080788,0.08209070045921552,0.39127924119061164,0.45565431014114477,0.560244888019751,43,0.17059878579846544,0.06034629769143498,0.2848631906618669,0.15134585451588214,0.8020367908611019,0.13124502221488568,0.11863491294248574,0.32568967140599037,0.40356220835850165,15
holdout_test,frozen_group_holdout,RandomForest,Final Energy,Eh,1821.727165219905,3290.611877510143,0.21340450964494662,787.8189753280624,7309.784599586738,8477.405224512102,9804.254996735666,43,1605.650259027036,642.9698692423016,2387.1768612147575,911.0129094441629,-0.2284765259256836,0.9374257579968653,1231.413646007971,3371.6704489792446,4508.929730668078,15
