task,selected_model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,energy_target_mode,weight_scheme
HOMO,KernelRidge,0.13415914265634646,0.20533959650979255,0.5106793081827582,0.08285847841186905,0.316020576239187,0.39130008555336576,,
LUMO,Ridge,0.17059878579846544,0.2848631906618669,0.8020367908611019,0.11863491294248574,0.32568967140599037,0.40356220835850165,,
Final Energy,RandomForest,1605.650259027036,2387.1768612147575,-0.2284765259256836,1231.413646007971,3371.6704489792446,4508.929730668078,delta_energy_per_atom,robust
