task,selected_model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,energy_target_mode,weight_scheme
HOMO,RandomForest,0.10669396651798221,0.16468184422767868,0.7960498517641142,0.06778588083751762,0.22775271922567245,0.28815411776568006,,
LUMO,XGBoost,0.12845578081931378,0.29454404027745,0.829500459929269,0.0632399588623047,0.26191547046569835,0.3365822358120725,,
Final Energy,RandomForest,1123.8760411819883,2018.273887656438,0.8179020388261675,471.0911021967264,3115.2530440706973,5065.67405235855,delta_energy,none
